report,PSIY_0-1,PSIY_1.1-2,PSIY_2.1-3,PSIY_3.1-4,PSIY_4.1-5,PSIY_5.1-6,PSIY_6.1-7,PSIY_7.1-8,PSIY_8.1-9,PSIY_9.1-10,PSIY_10.1-12,PSIY_12.1-15,PSIY_15.1-20,PSIY_20.1+,PSIY_life,PSIY_LWOP,PSIY_death,PSIY_YO,PSIY_total_reported,PSIY_not_reported,total_pop,PSIY_0-1_m,PSIY_1.1-2_m,PSIY_2.1-3_m,PSIY_3.1-4_m,PSIY_4.1-5_m,PSIY_5.1-6_m,PSIY_6.1-7_m,PSIY_7.1-8_m,PSIY_8.1-9_m,PSIY_9.1-10_m,PSIY_10.1-12_m,PSIY_12.1-15_m,PSIY_15.1-20_m,PSIY_20.1+_m,PSIY_life_m,PSIY_LWOP_m,PSIY_death_m,PSIY_YO_m,PSIY_total_reported_m,PSIY_not_reported_m,total_male_pop,PSIY_0-1_f,PSIY_1.1-2_f,PSIY_2.1-3_f,PSIY_3.1-4_f,PSIY_4.1-5_f,PSIY_5.1-6_f,PSIY_6.1-7_f,PSIY_7.1-8_f,PSIY_8.1-9_f,PSIY_9.1-10_f,PSIY_10.1-12_f,PSIY_12.1-15_f,PSIY_15.1-20_f,PSIY_20.1+_f,PSIY_life_f,PSIY_LWOP_f,PSIY_death_f,PSIY_YO_f,PSIY_total_reported_f,PSIY_not_reported_f,total_female_pop
Admissions_CY_2019,696,811,1282,960,1750,1050,863,859,805,2283,1269,1941,2229,1691,314,125,9,30,18967,0,18967,615,709,1059,827,1541,917,763,760,727,1983,1121,1735,2000,1533,287,122,8,27,16734,0,16734,81,102,223,133,209,133,100,99,78,300,148,206,229,158,27,3,1,3,2233,0,2233
Admissions_CY_2020,437,501,720,548,1008,605,502,503,451,1189,787,1039,1102,742,105,35,6,10,10290,0,10290,386,450,601,481,877,538,447,452,410,1017,699,932,999,674,99,35,6,10,9113,0,9113,51,51,119,67,131,67,55,51,41,172,88,107,103,68,6,0,0,0,1177,0,1177
Admissions_CY_2021,568,519,793,612,1150,641,599,673,669,1412,883,1488,1906,1428,189,80,,1,13611,0,13611,498,464,689,553,1009,570,541,602,624,1250,794,1341,1724,1309,180,77,,1,12226,0,12226,70,55,104,59,141,71,58,71,45,162,89,147,182,119,9,3,,0,1385,0,1385
Admissions_CY_2022,461,534,685,583,1240,662,638,659,697,1640,933,1661,2198,1812,278,145,,2,14828,0,14828,405,477,575,499,1058,582,568,570,631,1404,833,1478,1970,1646,254,141,,0,13091,0,13091,56,57,110,84,182,80,70,89,66,236,100,183,228,166,24,4,,2,1737,0,1737
Admissions_CY_2023,457,495,761,537,1261,633,623,593,659,1792,955,1758,2232,1969,332,160,,3,15220,0,15220,407,429,601,471,1108,543,553,526,603,1560,857,1577,1994,1772,307,158,,0,13466,0,13466,50,66,160,66,153,90,70,67,56,232,98,181,238,197,25,2,,3,1754,0,1754
Admissions_CY_2024,384,481,734,521,1142,607,524,606,636,1687,845,1722,2186,1928,336,200,,2,14541,0,14541,327,431,596,443,993,526,457,548,580,1459,756,1513,1949,1750,304,189,,1,12822,0,12822,57,50,138,78,149,81,67,58,56,228,89,209,237,178,32,11,,1,1719,0,1719
Admissions_CY_2025,366,452,695,520,1063,591,486,546,648,1622,919,1584,2077,1894,312,167,,4,13946,0,13946,311,399,551,433,886,487,432,481,574,1371,799,1376,1831,1694,288,158,,3,12074,0,12074,55,53,144,87,177,104,54,65,74,251,120,208,246,200,24,9,,1,1872,0,12074
Releases_CY_2005,2941,3856,2559,1740,2193,933,641,504,208,1112,407,370,288,172,188,1,5,,18119,0,18119,2594,3321,2263,1533,1987,839,582,473,195,1053,385,356,278,161,180,1,5,,16207,0,16207,347,535,296,207,206,94,59,31,13,59,22,14,10,11,8,0,0,,1912,0,1912
Releases_CY_2006,2993,4038,2721,1686,2242,880,634,585,237,1013,380,413,284,189,220,3,1,,18519,0,18519,2620,3475,2349,1490,2019,798,586,543,224,961,358,397,264,180,209,3,1,,16477,0,16477,373,563,372,196,223,82,48,42,13,52,22,16,20,9,11,0,0,,2042,0,2042
Releases_CY_2007,3087,4081,2902,1772,2365,1001,680,518,256,1200,402,380,254,157,240,1,2,,19298,0,19298,2704,3520,2530,1566,2128,905,622,484,232,1125,374,360,247,155,227,1,2,,17182,0,17182,383,561,372,206,237,96,58,34,24,75,28,20,7,2,13,0,0,,2116,0,2116
Releases_CY_2008,3428,4322,3012,1696,2549,1030,718,633,226,1326,461,357,275,158,246,2,3,,20442,0,20442,2995,3740,2649,1502,2273,946,665,582,208,1236,443,341,262,156,234,2,3,,18237,0,18237,433,582,363,194,276,84,53,51,18,90,18,16,13,2,12,0,0,,2205,0,2205
Releases_CY_2009,3998,4202,2771,1757,2517,1015,773,623,264,1328,524,451,311,227,237,,1,,20999,0,20997,3493,3570,2415,1550,2306,914,718,569,247,1241,496,434,299,217,229,,1,,18699,0,18699,504,631,356,207,211,101,55,54,17,87,28,17,12,10,8,,0,,2298,0,2298
Releases_CY_2010,4238,4793,2968,1803,2506,968,670,559,222,1260,498,541,331,178,248,2,3,,21788,0,21783,3710,4201,2627,1594,2261,877,613,524,203,1171,467,519,321,174,237,2,3,,19504,0,19504,527,589,341,209,244,91,57,35,19,89,31,22,10,4,11,0,0,,2279,0,2279
Releases_CY_2011,3737,4041,3210,1835,2649,909,706,609,259,1413,549,560,362,233,309,4,5,,21390,0,21390,3296,3591,2819,1676,2388,848,650,565,247,1320,515,530,342,218,297,4,5,,19311,0,19311,441,450,391,159,261,61,56,44,12,93,34,30,20,15,12,0,0,,2079,0,2079
Releases_CY_2012,3551,3440,2577,1705,2594,1065,867,639,265,1021,429,508,310,186,157,,,2,19316,0,19316,3234,3047,2250,1492,2320,941,780,578,235,948,400,488,301,183,148,,,2,17347,0,17347,317,393,327,213,274,124,87,61,30,73,29,20,9,3,9,,,0,1969,0,1969
Releases_CY_2013,570,837,838,841,2304,1112,1112,967,815,3990,1686,2469,2314,1122,179,8,2,,21166,0,21166,523,765,764,759,2032,1000,1004,873,732,3557,1515,2227,2103,1050,172,8,2,,19086,0,19086,47,72,74,82,272,112,108,94,83,433,171,242,211,72,7,0,0,,2080,0,2080
Releases_CY_2014,596,701,751,809,2126,1049,1015,952,886,3438,1527,2234,2333,1201,177,2,3,1,19801,0,19801,535,620,642,728,1899,904,914,841,794,3005,1360,1957,2153,1107,172,2,3,1,17637,0,17637,61,81,109,81,227,145,101,111,92,433,167,277,180,94,5,0,0,0,2164,0,2164
Releases_CY_2015,517,606,797,742,1862,933,902,894,826,2749,1491,2064,2151,1107,207,4,27,9,17888,0,17888,468,546,692,661,1608,819,792,799,739,2416,1308,1858,1962,1027,198,4,26,9,15932,0,15932,49,60,105,81,254,114,110,95,87,333,183,206,189,80,9,0,1,0,1956,0,1956
Releases_CY_2016,455,579,783,725,1655,921,854,844,786,2523,1371,1936,2140,1150,183,6,22,6,16939,0,16939,411,508,667,627,1451,798,755,749,704,2195,1198,1715,1944,1074,174,6,22,6,15004,0,15004,44,71,116,98,204,123,99,95,82,328,173,221,196,76,9,0,0,0,1935,0,1935
Releases_CY_2017,528,556,934,741,1687,906,810,795,737,2438,1375,1993,2300,1281,152,11,22,2,17268,0,17268,472,499,774,639,1473,773,727,715,668,2114,1228,1789,2106,1170,144,11,22,2,15326,0,15326,56,57,160,102,214,133,83,80,69,324,147,204,194,111,8,0,0,0,1942,0,1942
Releases_CY_2018,592,631,980,764,1765,954,876,889,804,2474,1419,2133,2459,1515,232,14,20,6,18527,0,18527,531,549,797,662,1522,830,760,777,721,2160,1240,1902,2235,1386,219,14,20,6,16331,0,16331,61,82,183,102,243,124,116,112,83,314,179,231,224,129,13,0,0,0,2196,0,2196
Releases_CY_2019,647,686,994,821,1781,921,871,838,790,2377,1363,2020,2232,1374,274,3,15,1,18008,0,18008,559,597,816,699,1530,802,771,744,709,2066,1196,1826,2031,1253,258,3,15,1,15876,0,15876,88,89,178,122,251,119,100,94,81,311,167,194,201,121,16,0,0,0,2132,0,2132
Releases_CY_2020,611,804,1134,861,1713,942,850,790,829,2196,1312,2105,2406,1475,240,16,17,2,18303,0,18303,540,710,938,739,1492,824,751,708,764,1916,1162,1873,2160,1337,220,16,17,2,16169,0,16169,71,94,196,122,221,118,99,82,65,280,150,232,246,138,20,0,0,0,2134,0,2134
Releases_CY_2021,484,496,752,595,1052,643,582,585,614,1599,1035,1644,2034,1395,258,12,2,1,13783,0,13783,427,443,646,518,917,579,528,534,550,1379,934,1501,1872,1266,250,11,2,1,12358,0,12358,57,53,106,77,135,64,54,51,64,220,101,143,162,129,8,1,0,0,1425,0,1425
Releases_CY_2022,492,435,707,588,1056,605,555,646,574,1490,930,1577,2109,1397,191,10,,,13362,0,13361,436,395,592,523,915,528,497,570,534,1301,832,1422,1935,1266,177,10,,,11933,0,11933,55,40,115,65,141,77,58,76,40,189,98,155,174,131,14,0,,,1428,0,1428
Releases_CY_2023,481,490,652,546,1131,667,591,576,599,1591,884,1544,2044,1354,145,10,2,,13307,0,13307,429,435,533,468,977,601,545,501,543,1377,794,1390,1855,1236,139,10,2,,11835,0,11835,52,55,119,78,154,66,46,75,56,214,90,154,189,118,6,0,0,,1472,0,1472
Releases_CY_2024,405,494,709,453,1131,615,557,564,640,1620,950,1707,2115,1432,182,7,1,1,13583,0,13583,353,437,572,405,969,536,484,501,597,1398,847,1533,1891,1303,177,7,1,1,12012,0,12012,52,57,137,48,162,79,73,63,43,222,103,174,224,129,5,0,0,0,1571,0,1571
Releases_CY_2025,386,423,674,511,1015,558,533,598,619,1752,891,1673,2211,1619,245,12,2,2,13724,0,13724,328,374,552,438,882,467,461,533,567,1526,783,1483,1986,1486,236,12,2,2,12118,0,12118,58,49,122,73,133,91,72,65,52,226,108,190,225,133,9,0,0,0,1606,0,12118
